Dataset ,Classifier,Cost Function,M ,Train/Test, Hamming-Loss, Accuracy, Execution Time
yeast-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,1,Train,0.2824444444444445,0.33666666666666667,2.83700
yeast-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,1,Test,0.3358778625954199,0.2846237731733915,2.83700
scene-train.arff,class weka.classifiers.trees.J48,Hamming Distance,1,Train,0.10528488852188223,0.6614368290668868,3.14500
scene-train.arff,class weka.classifiers.trees.J48,Hamming Distance,1,Test,0.1472965440356752,0.5326086956521738,3.14500
medical-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,1,Train,0.016731016731016738,0.8858858858858859,0.99500
medical-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,1,Test,0.01439645625692138,0.8992248062015504,0.99500
genbase-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,1,Train,0.0012958963282937368,0.9935205183585313,0.39800
genbase-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,1,Test,0.0,1.0,0.39800
flags-train.arff,class weka.classifiers.trees.J48,Hamming Distance,1,Train,0.2713178294573641,0.12403100775193798,0.01500
flags-train.arff,class weka.classifiers.trees.J48,Hamming Distance,1,Test,0.2967032967032967,0.12307692307692308,0.01500
enron-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,1,Train,0.05711741508713944,0.6438112199465718,9.43500
enron-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,1,Test,0.05255366395262756,0.6770293609671848,9.43500
emotions-train.arff,class weka.classifiers.trees.J48,Hamming Distance,1,Train,0.23103154305200344,0.2276214833759591,0.18500
emotions-train.arff,class weka.classifiers.trees.J48,Hamming Distance,1,Test,0.2970297029702969,0.14356435643564358,0.18500
birds-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,1,Train,0.04554865424430638,0.7732919254658385,0.31300
birds-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,1,Test,0.049535603715170226,0.7306501547987616,0.31300
yeast-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,2,Train,0.26977777777777673,0.29533333333333334,3.92800
yeast-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,2,Test,0.3049800072700842,0.24863685932388224,3.92800
scene-train.arff,class weka.classifiers.trees.J48,Hamming Distance,2,Train,0.08904486650151354,0.7060280759702725,9.48100
scene-train.arff,class weka.classifiers.trees.J48,Hamming Distance,2,Test,0.14952619843924256,0.5301003344481605,9.48100
medical-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,2,Train,0.01716001716001717,0.8828828828828829,0.85100
medical-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,2,Test,0.01971207087486156,0.8620155038759689,0.85100
genbase-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,2,Train,0.002591792656587473,0.9870410367170627,0.69700
genbase-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,2,Test,0.0030150753768844224,0.9849246231155779,0.69700
flags-train.arff,class weka.classifiers.trees.J48,Hamming Distance,2,Train,0.24916943521594653,0.13178294573643412,0.02800
flags-train.arff,class weka.classifiers.trees.J48,Hamming Distance,2,Test,0.2637362637362637,0.15384615384615385,0.02800
enron-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,2,Train,0.059279989823178114,0.6295636687444346,32.58000
enron-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,2,Test,0.05970885763631871,0.6390328151986183,32.58000
emotions-train.arff,class weka.classifiers.trees.J48,Hamming Distance,2,Train,0.1909633418584825,0.2941176470588235,0.45500
emotions-train.arff,class weka.classifiers.trees.J48,Hamming Distance,2,Test,0.221947194719472,0.2277227722772277,0.45500
birds-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,2,Train,0.03778467908902689,0.8074534161490683,0.86400
birds-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,2,Test,0.04643962848297209,0.7461300309597523,0.86400
yeast-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,3,Train,0.17088888888888895,0.42000000000000004,13.49500
yeast-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,3,Test,0.3436932024718282,0.17666303162486363,13.49500
scene-train.arff,class weka.classifiers.trees.J48,Hamming Distance,3,Train,0.04803192953481979,0.8125516102394715,21.48800
scene-train.arff,class weka.classifiers.trees.J48,Hamming Distance,3,Test,0.15900222965440458,0.479933110367893,21.48800
medical-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,3,Train,0.01973401973401975,0.8648648648648649,1.23600
medical-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,3,Test,0.019933554817275736,0.8604651162790697,1.23600
genbase-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,3,Train,0.003023758099352052,0.9848812095032398,0.89000
genbase-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,3,Test,0.0030150753768844224,0.9849246231155779,0.89000
flags-train.arff,class weka.classifiers.trees.J48,Hamming Distance,3,Train,0.20819490586932438,0.2790697674418605,0.05200
flags-train.arff,class weka.classifiers.trees.J48,Hamming Distance,3,Test,0.243956043956044,0.2153846153846154,0.05200
enron-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,3,Train,0.060043251494721145,0.6117542297417631,52.64300
enron-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,3,Test,0.07327905255366413,0.5561312607944733,52.64300
emotions-train.arff,class weka.classifiers.trees.J48,Hamming Distance,3,Train,0.15686274509803916,0.38363171355498726,2.19500
emotions-train.arff,class weka.classifiers.trees.J48,Hamming Distance,3,Test,0.24752475247524755,0.19801980198019797,2.19500
birds-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,3,Train,0.03726708074534159,0.7981366459627329,2.27700
birds-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,3,Test,0.045923632610939076,0.7523219814241486,2.27700
yeast-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,4,Train,0.06911111111111129,0.6886666666666666,40.84000
yeast-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,4,Test,0.3398764085786987,0.20937840785169026,40.84000
scene-train.arff,class weka.classifiers.trees.J48,Hamming Distance,4,Train,0.032204789430222994,0.8695293146160198,33.21300
scene-train.arff,class weka.classifiers.trees.J48,Hamming Distance,4,Test,0.1549609810479384,0.4983277591973244,33.21300
medical-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,4,Train,0.014586014586014587,0.8978978978978979,2.04300
medical-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,4,Test,0.018383167220376515,0.8713178294573644,2.04300
genbase-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,4,Train,8.639308855291578E-4,0.9956803455723542,1.35300
genbase-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,4,Test,0.0010050251256281408,0.9949748743718593,1.35300
flags-train.arff,class weka.classifiers.trees.J48,Hamming Distance,4,Train,0.15725359911406417,0.3410852713178295,0.12300
flags-train.arff,class weka.classifiers.trees.J48,Hamming Distance,4,Test,0.2791208791208791,0.1384615384615384,0.12300
enron-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,4,Train,0.050120849764661315,0.6714158504007124,105.27100
enron-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,4,Test,0.07401924500370113,0.5526770293609672,105.27100
emotions-train.arff,class weka.classifiers.trees.J48,Hamming Distance,4,Train,0.09164535379369142,0.5601023017902813,2.57900
emotions-train.arff,class weka.classifiers.trees.J48,Hamming Distance,4,Test,0.24174917491749162,0.1633663366336634,2.57900
birds-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,4,Train,0.037267080745341595,0.8043478260869565,2.89000
birds-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,4,Test,0.05159958720330234,0.7182662538699691,2.89000
yeast-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,5,Train,0.03677777777777771,0.8213333333333334,106.33600
yeast-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,5,Test,0.3389676481279538,0.20283533260632503,106.33600
scene-train.arff,class weka.classifiers.trees.J48,Hamming Distance,5,Train,0.029176988714561012,0.8695293146160198,74.42900
scene-train.arff,class weka.classifiers.trees.J48,Hamming Distance,5,Test,0.16123188405797179,0.46571906354515047,74.42900
medical-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,5,Train,0.009867009867009864,0.9309309309309309,2.75100
medical-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,5,Test,0.017497231450719818,0.8775193798449612,2.75100
genbase-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,5,Train,4.319654427645789E-4,0.9978401727861771,1.68700
genbase-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,5,Test,0.0,1.0,1.68700
flags-train.arff,class weka.classifiers.trees.J48,Hamming Distance,5,Train,0.07530454042081951,0.6201550387596899,0.31800
flags-train.arff,class weka.classifiers.trees.J48,Hamming Distance,5,Test,0.29890109890109895,0.15384615384615385,0.31800
enron-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,5,Train,0.04286986388500209,0.7212822796081924,205.88700
enron-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,5,Test,0.08339501603750338,0.5112262521588946,205.88700
emotions-train.arff,class weka.classifiers.trees.J48,Hamming Distance,5,Train,0.03921568627450977,0.7953964194373402,5.15600
emotions-train.arff,class weka.classifiers.trees.J48,Hamming Distance,5,Test,0.2838283828382839,0.13366336633663367,5.15600
birds-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,5,Train,0.01966873706004142,0.8913043478260869,4.62400
birds-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,5,Test,0.049019607843137226,0.7616099071207431,4.62400
yeast-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,6,Train,0.024444444444444456,0.88,279.95800
yeast-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,6,Test,0.34605597964376583,0.21046892039258447,279.95800
scene-train.arff,class weka.classifiers.trees.J48,Hamming Distance,6,Train,0.02628681530415635,0.87943848059455,133.59400
scene-train.arff,class weka.classifiers.trees.J48,Hamming Distance,6,Test,0.1495261984392428,0.46321070234113715,133.59400
medical-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,6,Train,0.011583011583011579,0.9219219219219219,3.93200
medical-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,6,Test,0.017718715393133987,0.882170542635659,3.93200
genbase-train_fixed.arff,class weka.classifiers.trees.J48,Hamming Distance,6,Train,4.319654427645789E-4,0.9978401727861771,2.02100
